,Temp,Psi
527,18.83,-2.276929527
528,18.695,-2.979703748
529,21.435,-3.274511578
530,22.92,-3.223888011
531,22.745,-3.037771957
532,22.76,-3.642276901
533,23.775,-3.262600151
534,24.115,-3.503806557
535,23.83,-3.78670296
536,22.425,-3.10179588
537,23.175,-3.217932298
538,23.415,-2.884412328
539,23.75,-3.091373381
540,23.73,-3.880505451
541,24.105,-3.685455826
542,22.95,-3.676522255
543,26.785,-3.021393744
544,26.255,-3.673544399
545,26.31,-3.57676405
546,24.24,-2.869173422
547,24.945,-2.573226285
548,23.57,-2.774231624
549,21.49,-3.231332653
550,20.65,-3.240266224
551,20.625,-3.174753373
552,20.36,-2.448156297
553,20.06,-1.14236606
554,19.17,-0.385017365
555,19.405,-0.385017365
556,20.37,-1.355282826
557,22.165,-2.238217388
558,23.44,-2.306708096
559,22.47,-2.071457403
560,22.05,-2.260551314
561,21.98,-2.708718773
562,23.775,-3.247710866
563,22.535,-1.168563592
564,24.715,-1.449897106
565,23.46,-1.785583144
566,22.115,-1.6366903
567,22.585,-1.40888425
568,23.11,-1.478863886
569,24.195,-1.536932095
570,25.245,-1.877896707
